Label;tweet
Negatif;@The_BosGenk Ada apa ni ko ada taggar  #GoodByeJokowi
Negatif;@The_BosGenk sssst,, #GoodByeJokowi  #GoodByeJokowi
Negatif;@Android_AK_47 Jangan biarkan Mahasiswa Bergerak sendirian.. Rakyat,Buruh dan STM Bersatulah dalam 1 barisan.. #GoodByeJokowi  #GoodByeJokowi
Negatif;@akunkelima212 Two period it's been so long, I can't wait anymore #GoodByeJokowi  #GoodByeJokowi
Negatif;Di era Jokowi NASAKOM dihidupkan kembali, Islam dan ummat Islam disingkirkan, dakwah dan ajaran Islam dipelintir menjadi  ISLAM NUSANTARA Ulama dan tokoh Islam dipenjarakan. Saatnya revolusi rakyat, menghacurkan rezim Jokowi yg tirani. #GoodByeJokowi #GoodByeJokowi
Negatif;Hampir tiap hari ada trand di minta mundurr... tapi sampai saat ini seperti ngak dihiraukan🤔🤔 apa dia tdk tahu atau pura-pura tdk tahu. #GoodByeJokowi
Positif;@Nicho_Silalahi Satu bangsa satu tanah air satu kata #GoodByeJokowi
Negatif;👦: Oo... jadi giniii 👧: Nah iya gitu  Emote batu mana nii #GoodByeJokowi #inisialM #BerkahRamadhanditvOne
Positif;"@handajani10 aamiiin ya rob, , 🤲  mdh""an Mak, , 🙏  #GoodByeJokowi  #GoodByeJokowi"
Positif;Agar semua berjalan normal kembali #GoodByeJokowi  #GoodByeJokowi
Positif;Kompromi,aksi,REFORMASI !! #GoodByeJokowi
Negatif;@Nicho_Silalahi @BenLoew21 Turunkan Jokowi #GoodByeJokowi  #GoodByeJokowi
Negatif;Semua pada Naik #GoodByeJokowi  https://t.co/9v9nHuwzXA
Negatif;@PecanduKretek Musuh kita bukan Ras dan Agama yang berbeda, tapi Penguasa Zalim yang akan Menghancurkan kedamaian Dunia #GoodByeJokowi  #GoodByeJokowi
Negatif;"inisial pelawak ""M"" Gw yakin bukan bang malih 😊 sehat terus bang malih tongtong #GoodByeJokowi  https://t.co/C4FVZhdfJj"
Negatif;Gak apa2 di hari lebaran gak ada baju baru, yang penting di hari lebaran ada Presiden baru #GoodByeJokowi  #GoodByeJokowi
Positif;Assalamu'alaikum...  Hempaskan kotoran penyakit di dalam hati karena orang yang memendam dendam dan benci itu akan terasa capek sendiri terlebih orang yang kamu tuju terlihat baik-baik saja bahkan tersenyum tanpa membalas kebencianmu  #GoodByeJokowi
Negatif;@myputun Jika Jokowi tidak dilengserkan secepatnya, Jokowi akan terus menindas kita dan Jokowi akan terus menggunakan BuzzeRp untuk memenjarakan siapa saja yang menentangnya.. Kita Semua bisa kena #GoodByeJokowi  #GoodByeJokowi
Netral;11 April @MprAldo insyah Allah #GoodByeJokowi  #GoodByeJokowi  https://t.co/AnN1PIxhwf
Netral;Ga kaget sama tagar #GoodByeJokowi   Coba liat beberapa hari terakhir yang terjadi di Pakistan, Sri Lanka, dan masih banyak lagi.
Negatif;#GoodByeJokowi aku hanya ingin di permudah dan di penghasilkan jualan aja  https://t.co/20CU9YRYNP
Netral;Trending di Indonesia twiter pagi ini #GoodByeJokowi  https://t.co/X7Fm01Kjen
Negatif;Semoga kita segera punya presiden baru yang berkualitas.  Panjang umur perjuangan.  #GoodByeJokowi  https://t.co/lHAapEOfWo
Positif;Semoga semoga perbuatan bapak, semasa menjabat kepala negara segera mendapat balasan serta teguran dari alloh swt.  Aminn  #GoodByeJokowi #GoodByeJokowi
Negatif;Ayooo ikut turun dong warganet..jgn berisik di medsos doang... tunjukkan kepedulian kalian untuk kebaikan negeri ini...kita lengserkn pakde dkk...bismillah semoga 11 April hr terakhr pakde jadi presiden...aamiin Allahumma aamiin🤲🏼  #GoodByeJokowi  #GoodByeJokowi  https://t.co/WzwI2vRXFz
Negatif;@YanHarahap @DonAdam68 #JokowiHARUSDiturunkan  #GoodByeJokowi  #TangkapSemuaAntek2RezimJokowiPerusakBangsa
Negatif;Kayak gini aje viral...#inisialM #GoodByeJokowi
Netral;@DivHumas_Polri @CCICPolri lapor pak #GoodByeJokowi
Negatif;@Helmi_Felis @jokowi #JokowiHARUSDiturunkan  #GoodByeJokowi  #TangkapSemuaAntek2RezimJokowiPerusakBangsa
Positif;Sesuai konstitusi aja adek2 mahasiswa mahasiswi.. jangan dipaksain #GoodByeJokowi
Negatif;Tahu apa Anda ttg demokrasi❓ #GoodByeJokowi
Negatif;#JokowiHARUSDiturunkan  #GoodByeJokowi  #TangkapSemuaAntek2RezimJokowiPerusakBangsa
Positif;Bulan Ramadhan adalah Bulan Perjuangan,Selamatkan Indonesia dari cengkeramam Oligarki #GoodByeJokowi
Negatif;@hc_poirot @msaid_didu #JokowiHARUSDiturunkan  #GoodByeJokowi  #TangkapSemuaAntek2RezimJokowiPerusakBangsa
Negatif;#JokowiHARUSDiturunkan  #GoodByeJokowi  #TangkapSemuaAntek2RezimJokowiPerusakBangsa
Negatif;@Helmi_Felis rakyat mana yang mau kau tipu dengan #GoodByeJokowi ?  https://t.co/6Rn95tHwSb
Netral;Aamin ya rabbal aalaamiii  #GoodByeJokowi
Negatif;Oalah buset ,cepetan, buruan  #GoodByeJokowi #GoodByeJokowi
Negatif;Cabut Mandat!!!#GoodByeJokowi
Netral;Yang lagi trending #GoodByeJokowi 😋😋🤪🦖✅  https://t.co/tEWuqYRipU
Negatif;@geloraco Itu strategi pemerintah @jokowi mencekik rakyatnya. Memaksa rakyat mau gak mau tetep belu pertama. Bukan begitu @pertamina ?  Jadi sangat wajid #GoodByeJokowi  #GoodByeJokowi
Negatif;"haha KSP aje menta sumbangan wkwk apalagi cuman buzzerp wkwk  tp tenang,udh siap kata2 pengaman ""oknum"" ngoahahaha tag #GoodByeJokowi jogja #OrdeBrutal turu subuh inisial M Tito"
Negatif;@CNNIndonesia Berarti klo ada kades yg dukung #GoodByeJokowi tidak dihukum ya! Kan UU nya gak jelas. #GoodByeJokowi  #GoodByeJokowi
Negatif;Yang lebih buruk dari Pak Dhe Banyak, yang lebih Baik Lebih Banyak lagi..menyerahlah demi NKRI #GoodByeJokowi
Negatif;@Nicho_Silalahi Gak salah bang, kata si Tito kita negara demokrasi. Yg usul 3 periode aja boleh, masa usul #GoodByeJokowi  gak boleh.  Bismillah.......inshaAlloh @jokowi turun #GoodByeJokowi  #GoodByeJokowi
Negatif;Gini amat jdi wni yg baik, pajak naik mau tak mau legowo, bbm naik, y trima aj, hrus bpjs, y ngikut saja, trpaksa ikut vaksin drpda sulit dlm administrasi dan syarat perjalanan 😔   #GoodByeJokowi
Positif;up lageeh, apa kabar @KPK_RI ? masih kuat kan? wkwk tag #GoodByeJokowi jogja #OrdeBrutal turu subuh inisial M Tito
Netral;#TigaPeriodeNdasmu tag #GoodByeJokowi jogja #OrdeBrutal turu subuh inisial M Tito
Netral;PRANK SIDEN🤭 #GoodByeJokowi  https://t.co/1X3l4lErxF
Negatif;air mata tito,eh air mata buaya  tag #GoodByeJokowi jogja #OrdeBrutal turu subuh inisial M Tito
Netral;tito karnatitipan wkwk  tag #GoodByeJokowi jogja #OrdeBrutal turu subuh inisial M Tito
Netral;@Helmi_Felis @MelawanKezalima Berkar Ramadhan..... #GoodByeJokowi  #GoodByeJokowi
Netral;@RatnaMaramat62 Iya mbak @RatnaMaramat62  Gak da buka hp td  Slmt pagi mbak  #GoodByeJokowi
Negatif;rezim licik ala pki  tag #GoodByeJokowi jogja #OrdeBrutal turu subuh inisial M Tito
Negatif;bongkar aja lah biar mewek lagi si tito  tag #GoodByeJokowi jogja #OrdeBrutal turu subuh inisial M Tito
Negatif;Udah kena virus akut, serta takut kehilangan jabatan #GoodByeJokowi
Negatif;Rezim Rakus!  tag #GoodByeJokowi jogja #OrdeBrutal turu subuh inisial M Tito
Negatif;mana berani si tito tag #GoodByeJokowi jogja #OrdeBrutal turu subuh inisial M Tito
Negatif;@BebbyZhee_01 Rakyat sudah sangat menderita dan terzolimi #GoodByeJokowi  #GoodByeJokowi
Positif;Mau berapapun periode yg akan terjadi, itu kehendak Allah. Yang Allah perintahkan adalah melawan kedzaliman  #GoodByeJokowi
Positif;Satu nusa  Satu bangsa Satukan kata kita #GoodByeJokowi  https://t.co/6Y7gPRej8l
Netral;Aku sll pengen bilang..  #GoodByeJokowi  #ReformasiJilid2
Netral;Aamiin ya rabbal alamin,,#GoodByeJokowi 🙏
Netral;Lah? Masih hidup kan?  Kenapa #GoodByeJokowi
Negatif;@Nicho_Silalahi Abang sih, kebangetan. Mosok kita2 diajak #GoodByeJokowi ? Emangnya bisaaaaaa? Kalau bisa, ayolah kita #GoodByeJokowi in.
Positif;Terimakasih atas kehadirannya. #GoodByeJokowi
Negatif;@susipudjiastuti Yang penting perut mereka kenyang dulu Bu, masa bodo dengan nelayan dan rakyatnya  #GoodByeJokowi
Negatif;penderitaan oleh bangsa sendiri,lebih menyakitkan drpada  bangsa asing. Lawan penjajah MERDEKA ATAU MATI!!#GoodByeJokowi
Negatif;@kidungh4ti @mrtaufik19 #GoodByeJokowi Game Over
Netral;Aamiin aamii YRA #GoodByeJokowi  #GoodByeJokowi
Positif;Kerja aja ga becus #GoodByeJokowi #GoodByeJokowi
Netral;@Android_AK_47 Aamiin Aamiin Allahumma Aamiin #GoodByeJokowi
Negatif;@geloraco Pemerintahan paling brutal.... #GoodByeJokowi  #GoodByeJokowi
Negatif;Atas dasar gerakan mahasiswa the and GAME OVER jokowi   #GoodByeJokowi
Positif;Klo gak mampu, serahkan ke yang lain. Islam punya Solusi #GoodByeJokowi
Negatif;Pemimpin terburuk #GoodByeJokowi
Negatif;@caul_tanjung Yang begini masih minta nambah periode.? #GoodByeJokowi  #GoodByeJokowi
Negatif;Klo #GoodByeJokowi yang naik maruf amin trs wakilnya jadi puan maharani. Lepas dr kandang .... masuk le kandang ....
Negatif;#GoodByeJokowi #GoodByeJokowi Reformasi jilid II SINGKIRKAN REZIM OTORITER
Positif;Semoga doa kita terkabul,meskipun penggantinya tdk bs membangun indonesia lebih baik,paling tidak bs mengurangi hutang dan tidak membebani rakyat dengan mahal harga2 kebutuhan pokok #GoodByeJokowi
Positif;Mahasiswa adalah referensi rakyat. Mahasiswa mewakili suara rakyat. #GoodByeJokowi  #GoodByeJokowi
Negatif;Apa yang gak naik di buatnya, tensi pun naik di buatnya #GoodByeJokowi
Netral;Akan kah jadi seruan aksi kembali?   Akankah jadi gejayan memanggil lagi?   #GoodByeJokowi  #GoodByeJokowi  #GoodByeJokowi
Positif;Untuk seluruh pejuang di sosmed. Tgl 11 waktunya kita berjuang di dunia nyata, satukan suara...!! #GoodByeJokowi
Negatif;standar ganda kompresor mfud wkwk tag #GoodByeJokowi jogja #OrdeBrutal turu subuh inisial M  https://t.co/TdeeVfv4sW
Negatif;#GoodByeJokowi It's enough it's over
Negatif;klo big data milik internal,nape si luhut umbar2 ke publik? bilang aje big ngibul bkn big data  tag #GoodByeJokowi jogja #OrdeBrutal turu subuh inisial M
Netral;@IbnoeAhmad4 Kenapa mesti #GoodByeJokowi ?
Netral;Semoga  #GoodByeJokowi
Negatif;beuh buzzer² anies mengcrazy... 🤭🤧😂🙈 #GoodByeJokowi
Positif;IT'S WORK !! #GoodByeJokowi
Negatif;Gw tambah lagi nihh.. Biar tau semua sudah kenyang dg janji2 manismuu  #GoodByeJokowi
Negatif;@je_born @susipudjiastuti Ntar Juga Jadi Sampah Peradaban,#OrdeBrutal ,#GoodByeJokowi
Negatif;si luhut dah keya perdana menteri yak,ngurusin  covid,lpg,petalite dll s😅  tag #GoodByeJokowi jogja #OrdeBrutal turu subuh inisial M
Negatif;Semua itu bohong #GoodByeJokowi  https://t.co/QfmLEFu6Ce
Negatif;@Badut2Politik Kasihan ya Gak percaya #GoodByeJokowi  #GoodByeJokowi
Positif;Prestasi gub jateng yang sangat fenomenal dan fantastis vrrsi kpk..🤣🤣🤣  entah kpk yg lg puyeng atau kompas yg lagi error....ngakak bacanya..  #GoodByeJokowi  #GoodByeJokowi
Netral;Loker  PKSS - Cleaning Service  ⏬  https://t.co/N7BNmbFJA5 Loker JOBSQUWEB  .  Group   https://t.co/FOJxSgZLo2 .  #lowongankerja #Loker #lokerjabodetabek #lokerindonesia #jobsquweb #InfoLoker #loker2022 #lokerterbaru #lowongankerjaterbaru #insert #GoodByeJokowi #amel #inisialM  https://t.co/mYCyqLzc7q
Negatif;Jokowi sudah gagal!! boro-boro 3 periode, bila tidak segera mengundurkan diri, Indonesia bakal menghadapi turbulensi bahkan tsunami politik.  #GoodByeJokowi  #GoodByeJokowi
Positif;Qobul... Mari kita aminkan #GoodByeJokowi  #GoodByeJokowi
Negatif;#GoodByeJokowi  BuzzeRp Nasbung #GoodByeJokowi
Netral;Apakah iya #GoodByeJokowi ? 😱 Buka tweet shock
Netral;Aamiin...YRA #GoodByeJokowi #GoodByeJokowi
Positif;@jokowi Semoga rezim bisa segera taubat. #GoodByeJokowi
Positif;Semoga pemimpin kita ga seperti ini... aamiin 😇😇  Insert #GoodByeJokowi  Inisial M  https://t.co/ZQnagI4KlB
Netral;Ada tagar #GoodByeJokowi udah bikin bahagia #GoodByeJokowi   .
Negatif;#GoodByeJokowi sampun ni mawon ketimbang soyo getun tibo buri
Netral;Ikutan ah...  #GoodByeJokowi  #GoodByeJokowi  https://t.co/HQnyYNG5GA
Negatif;Ayo si muka tebal  #GoodByeJokowi Ayo yg fak ada malu  #GoodByeJokowi
Negatif;Pengadilan Nigeria menjatuhkan hukuman 24 th penjara kepada seorang Kafir karena membuat postingan MedSos yg dianggap melecehkan #Islam di wilayah utara negara Afrika Barat itu. - Bagaimana dg #Indonesia 📣 - #GoodByeJokowi #recehkansahur #OrdeBrutal #Ramadan - Pagii Mo Salah 👌
Netral;Ada apa ini ya...  #GoodByeJokowi
Negatif;Untuk sekali saja berbakti pada negeri ini,turunlah #GoodByeJokowi
Negatif;@PanciBozz @Nayya001 @DzauZie Garut Hadir, geus lila Aing cape dibohongan wae, lalilieur sagala mahal sagala lalengitan, zaman geus edan...😪😪😪 #GoodByeJokowi  #lengserkanjokowi
Negatif;Saatnya Lengser #GoodByeJokowi  #GoodByeJokowi
Netral;#GoodByeJokowi Tiba2 kangen  https://t.co/2qZR7l0mWe
Negatif;@cybsquad_ @Sunarti25231614 Muak Mual Mules #GoodByeJokowi  #GoodByeJokowi
Positif;@CNNIndonesia Tetap kawal #GoodByeJokowi
Negatif; https://t.co/b2k8Hgv1Sc  setelah membandingkan dengan rezim pemerintahan lain di Indonesia, dapat ditarik kesimpulan bahwa tidak ada rezim yang lebih brutal dalam menaikkan harga kebutuhan publik selain era pemerintahan Jokowi-Ma’ruf Amin saat ini. #GoodByeJokowi  #fakta_elite  https://t.co/w45Bt6EU11
Positif;Hidup Mahasiswa Indonesia..✊💪 #GoodByeJokowi  #GoodByeJokowi  https://t.co/nnPSCYcUFU
Negatif;Jangan kasih kendor sampai @jokowi penipu tumbang #GoodByeJokowi
Negatif;Dibilang pemimpin.. kegiatannya kayak model... dibilang model.. u know lah 😅😅.. dibilang gagah... ya gimana ya.. 😅😅 jadi pengen ngiris bawang sepanci😄  #GoodByeJokowi
Negatif;@ISTANA_CLina10 Ndang balio neng panggonmu.  #GoodByeJokowi  #GoodByeJokowi
Negatif;Selamat pagi,  Buka hape kenapa yang trending #GoodByeJokowi  #GoodByeJokowi  Baiknya bikin pernyataan tidak akan menuda pemilu dan cukup 2 periode saja sesuai undang-undang sekarang, masalah selesai dengan manis. LBP diam dan tidak usah bikin gaduh dgn opini diluar tugasnya.
Positif;"Satu kata ""Lawan"" #GoodByeJokowi"
Negatif;Wkwkwkw pencitraan mulu   #GoodByeJokowi  https://t.co/li3wQWEW20
Negatif;@berlianidris Lihat kayak gini kok jangan sampai 2024 yaa #GoodByeJokowi
Negatif;Kalo udah sadar, kenapa gak bilang #GoodByeJokowi
Netral;@nezloves2 @Helmi_Felis Wkwkwk ((ratusan juta)) 🤣🤣  #GoodByeJokowi
Netral;Sedang tren #GoodByeJokowi
Negatif;Modal pencitraan selfi sana sini Priode pertama Gagal...!! Priode kedua Gagal Priode ke 3 maksa banget...!!! #GoodByeJokowi  #GoodByeJokowi
Negatif;Kebodohan yang harus segera diakhiri. Just say: #GoodByeJokowi
Negatif;"semenjak ada mereka indonesia tidak sedang baik"" saja 😡  #GoodByeJokowi  https://t.co/5fE2odD8nB"
Positif;@Helmi_Felis Semoga menjadi kenyataan .. biidznillah  .. #GoodByeJokowi
Netral;#GoodByeJokowi   Apa kabar
Negatif;Sendok  Don Adam: Kalau Big Data Rahasia Masak Kita Dipaksa Ikut Kudeta Konstitusi, Lha Kok Enak? | Jokowi Binatang Cebong Amel Jogja Ginting Kadrun Tarawih Ramadhan Na PD Inisial M #OrdeBrutal #GoodByeJokowi  #KamiTolak3Priode #IstanaSarangMafia  https://t.co/s0x1LNNqCc
Netral;Satu lagi alasan buat #GoodByeJokowi
Positif;@KING__VADUKA #GoodByeJokowi  #GoodByeJokowi   Keren neh tagarnya 😁
Netral;Lho kok ada tagar #GoodbyeJokowi Emangah ada apahan ya ?
Netral;si titi* karnataipan   tag #GoodByeJokowi jogja #OrdeBrutal turu subuh inisial M
Positif;happy farewell  #GoodByeJokowi
Positif;Revolusi jg bukan hal Tabu !  tag #GoodByeJokowi jogja #OrdeBrutal turu subuh inisial M
Netral;Mukidi adalah komedian paoan atas di negeri ini... nyatanya.... #GoodByeJokowi  #GoodByeJokowi
Negatif;@IbnoeAhmad4 #GoodByeJokowi #GoodByeJokowi  waduh ! kalah perkasa dong ?   apakah akan disusul dengan LGBT barangkali ?
Negatif;Sadarlah pak.. rakyat sdh semakin susah... mana janji2 itu??? #GoodByeJokowi since:2022-04-05_10:13:18_UTC
Negatif;Kalau udah ngaak di hargain lagi. Baiknya anda mundur. Itu lbih terhormat...!! pak Jokowi #GoodByeJokowi  #GoodByeJokowi
Netral;#GoodByeJokowi @Partai_Gerindra @dpdgolkarclg @Golkar5 @kabargolkarnews  https://t.co/4NbJayXYik
Negatif;President gagal  Listrik naik, solar langka, minyak goreng selangit, Pertamax naik tapi Pertamina tetap rugi, subsidi di ilangkan semua, di tambah PPN naik masih aja ngotot bikin IKN, gk liat utang segunung, korupsi di jaman dia banyak #GoodByeJokowi #GoodByeJokowi  #jokowigagal
Netral;@PanciBozz Suka 😊👍,,,ikutan ya  #GoodbyeJokowi #GoodbyePresidenku
Negatif;"@UtangJpu Mohon maaf,kita dulu ber ikrar Tritura. Jutaan elemen &amp; mahasiswa tentu ga pernah lupa betapa Pemimpin bermental Diktator-pro PKI akhirny brhsil kami tumbangkn.Akankh tgl 11 terwujud Tritura Jilid II. Semoga.                                    #GoodByeJokowi"
