,date,username,tweet,Tokenization,Stop_Removal,Tweet_Stemmed
0,2022-04-06 06:59:54,masaan64,bosgenk ada apa ada taggar,"['bosgenk', 'ada', 'apa', 'ada', 'taggar']","['bosgenk', 'taggar']","['bosgenk', 'taggar']"
1,2022-04-06 06:59:27,RBugeh,bosgenk sssst,"['bosgenk', 'sssst']","['bosgenk', 'sssst']","['bosgenk', 'sssst']"
2,2022-04-06 06:58:56,OmegaF1998,ak jangan biarkan mahasiswa bergerak sendirian rakyat buruh dan stm bersatulah dalam barisan,"['ak', 'jangan', 'biarkan', 'mahasiswa', 'bergerak', 'sendirian', 'rakyat', 'buruh', 'dan', 'stm', 'bersatulah', 'dalam', 'barisan']","['ak', 'biarkan', 'mahasiswa', 'bergerak', 'rakyat', 'buruh', 'stm', 'bersatulah', 'barisan']","['ak', 'biar', 'mahasiswa', 'gerak', 'rakyat', 'buruh', 'stm', 'satu', 'baris']"
3,2022-04-06 06:56:40,Aki_jupi,two period been long can wait anymore,"['two', 'period', 'been', 'long', 'can', 'wait', 'anymore']","['two', 'period', 'been', 'long', 'can', 'wait', 'anymore']","['two', 'period', 'been', 'long', 'can', 'wait', 'anymore']"
4,2022-04-06 06:56:37,mhbmuhib17,era jokowi nasakom dihidupkan kembali islam dan ummat islam disingkirkan dakwah dan ajaran islam dipelintir menjadi islam nusantara ulama dan tokoh islam dipenjarakan saatnya revolusi rakyat menghacurkan rezim jokowi tirani,"['era', 'jokowi', 'nasakom', 'dihidupkan', 'kembali', 'islam', 'dan', 'ummat', 'islam', 'disingkirkan', 'dakwah', 'dan', 'ajaran', 'islam', 'dipelintir', 'menjadi', 'islam', 'nusantara', 'ulama', 'dan', 'tokoh', 'islam', 'dipenjarakan', 'saatnya', 'revolusi', 'rakyat', 'menghacurkan', 'rezim', 'jokowi', 'tirani']","['era', 'jokowi', 'nasakom', 'dihidupkan', 'islam', 'ummat', 'islam', 'disingkirkan', 'dakwah', 'ajaran', 'islam', 'dipelintir', 'islam', 'nusantara', 'ulama', 'tokoh', 'islam', 'dipenjarakan', 'revolusi', 'rakyat', 'menghacurkan', 'rezim', 'jokowi', 'tirani']","['era', 'jokowi', 'nasakom', 'hidup', 'islam', 'ummat', 'islam', 'singkir', 'dakwah', 'ajar', 'islam', 'pelintir', 'islam', 'nusantara', 'ulama', 'tokoh', 'islam', 'penjara', 'revolusi', 'rakyat', 'menghacurkan', 'rezim', 'jokowi', 'tirani']"
5,2022-04-06 06:56:19,thaufiki1989,,[''],[''],['']
6,2022-04-06 06:52:35,CingAlung,,[''],[''],['']
7,2022-04-06 06:51:09,zeinvey,of,['of'],['of'],['of']
8,2022-04-06 06:49:44,fcm_hasbi,hampir tiap hari ada trand minta mundurr tapi sampai saat ini seperti ngak dihiraukan apa dia tdk tahu atau pura pura tdk tahu,"['hampir', 'tiap', 'hari', 'ada', 'trand', 'minta', 'mundurr', 'tapi', 'sampai', 'saat', 'ini', 'seperti', 'ngak', 'dihiraukan', 'apa', 'dia', 'tdk', 'tahu', 'atau', 'pura', 'pura', 'tdk', 'tahu']","['trand', 'mundurr', 'ngak', 'dihiraukan', 'tdk', 'pura', 'pura', 'tdk']","['trand', 'mundurr', 'ngak', 'hirau', 'tdk', 'pura', 'pura', 'tdk']"
9,2022-04-06 06:46:40,Sagarageni,silalahi satu bangsa satu tanah air satu kata,"['silalahi', 'satu', 'bangsa', 'satu', 'tanah', 'air', 'satu', 'kata']","['silalahi', 'bangsa', 'tanah', 'air']","['silalahi', 'bangsa', 'tanah', 'air']"
10,2022-04-06 06:46:04,_Zakkkkkkk,jadi giniii nah iya gitu emote batu mana nii,"['jadi', 'giniii', 'nah', 'iya', 'gitu', 'emote', 'batu', 'mana', 'nii']","['giniii', 'iya', 'gitu', 'emote', 'batu', 'nii']","['giniii', 'iya', 'gitu', 'emote', 'batu', 'nii']"
11,2022-04-06 06:45:48,Ichan_Pitoeng,felis,['felis'],['felis'],['felis']
12,2022-04-06 06:45:36,gendagenda13,,[''],[''],['']
13,2022-04-06 06:45:31,DikibulinMas,aamiiin rob mdh mak,"['aamiiin', 'rob', 'mdh', 'mak']","['aamiiin', 'rob', 'mdh', 'mak']","['aamiiin', 'rob', 'mdh', 'mak']"
14,2022-04-06 06:45:13,CingAlung,qobbull,['qobbull'],['qobbull'],['qobbull']
15,2022-04-06 06:44:29,CingAlung,,[''],[''],['']
16,2022-04-06 06:44:26,rankmudo5,agar semua berjalan normal kembali,"['agar', 'semua', 'berjalan', 'normal', 'kembali']","['berjalan', 'normal']","['jalan', 'normal']"
17,2022-04-06 06:43:18,febrianallib,kompromi aksi reformasi,"['kompromi', 'aksi', 'reformasi']","['kompromi', 'aksi', 'reformasi']","['kompromi', 'aksi', 'reformasi']"
18,2022-04-06 06:43:06,GusKevin4,silalahi turunkan jokowi,"['silalahi', 'turunkan', 'jokowi']","['silalahi', 'turunkan', 'jokowi']","['silalahi', 'turun', 'jokowi']"
19,2022-04-06 06:42:54,Hendri0692,semua pada naik,"['semua', 'pada', 'naik']",[],[]
20,2022-04-06 06:42:49,OmegaF1998,musuh kita bukan ras dan agama yang berbeda tapi penguasa zalim yang akan menghancurkan kedamaian dunia,"['musuh', 'kita', 'bukan', 'ras', 'dan', 'agama', 'yang', 'berbeda', 'tapi', 'penguasa', 'zalim', 'yang', 'akan', 'menghancurkan', 'kedamaian', 'dunia']","['musuh', 'ras', 'agama', 'berbeda', 'penguasa', 'zalim', 'menghancurkan', 'kedamaian', 'dunia']","['musuh', 'ras', 'agama', 'beda', 'kuasa', 'zalim', 'hancur', 'damai', 'dunia']"
21,2022-04-06 06:41:26,naufalyasir98,,[''],[''],['']
22,2022-04-06 06:41:15,CingAlung,inisial pelawak yakin bukan bang malih sehat terus bang malih tongtong,"['inisial', 'pelawak', 'yakin', 'bukan', 'bang', 'malih', 'sehat', 'terus', 'bang', 'malih', 'tongtong']","['inisial', 'pelawak', 'bang', 'malih', 'sehat', 'bang', 'malih', 'tongtong']","['inisial', 'lawak', 'bang', 'malih', 'sehat', 'bang', 'malih', 'tongtong']"
23,2022-04-06 06:41:05,Sagarageni,,[''],[''],['']
24,2022-04-06 06:40:24,Cakrabarani,,[''],[''],['']
25,2022-04-06 06:37:56,OmegaF1998,gak apa hari lebaran gak ada baju baru yang penting hari lebaran ada presiden baru,"['gak', 'apa', 'hari', 'lebaran', 'gak', 'ada', 'baju', 'baru', 'yang', 'penting', 'hari', 'lebaran', 'ada', 'presiden', 'baru']","['gak', 'lebaran', 'gak', 'baju', 'lebaran', 'presiden']","['gak', 'lebaran', 'gak', 'baju', 'lebaran', 'presiden']"
26,2022-04-06 06:37:54,RuzainRafie,,[''],[''],['']
27,2022-04-06 06:37:35,yahsin1989,,[''],[''],['']
28,2022-04-06 06:37:30,LiliSuparli18,assalamu alaikum hempaskan kotoran penyakit dalam hati karena orang yang memendam dendam dan benci itu akan terasa capek sendiri terlebih orang yang kamu tuju terlihat baik baik saja bahkan tersenyum tanpa membalas kebencianmu,"['assalamu', 'alaikum', 'hempaskan', 'kotoran', 'penyakit', 'dalam', 'hati', 'karena', 'orang', 'yang', 'memendam', 'dendam', 'dan', 'benci', 'itu', 'akan', 'terasa', 'capek', 'sendiri', 'terlebih', 'orang', 'yang', 'kamu', 'tuju', 'terlihat', 'baik', 'baik', 'saja', 'bahkan', 'tersenyum', 'tanpa', 'membalas', 'kebencianmu']","['assalamu', 'alaikum', 'hempaskan', 'kotoran', 'penyakit', 'hati', 'orang', 'memendam', 'dendam', 'benci', 'capek', 'orang', 'tuju', 'tersenyum', 'membalas', 'kebencianmu']","['assalamu', 'alaikum', 'hempas', 'kotor', 'sakit', 'hati', 'orang', 'pendam', 'dendam', 'benci', 'capek', 'orang', 'tuju', 'senyum', 'balas', 'benci']"
29,2022-04-06 06:36:04,ChandraGiriWir2,,[''],[''],['']
30,2022-04-06 06:35:44,chaidar_2000,,[''],[''],['']
31,2022-04-06 06:35:40,ChandraGiriWir2,,[''],[''],['']
32,2022-04-06 06:35:03,OmegaF1998,jika jokowi tidak dilengserkan secepatnya jokowi akan terus menindas kita dan jokowi akan terus menggunakan buzzerp untuk memenjarakan siapa saja yang menentangnya kita semua bisa kena,"['jika', 'jokowi', 'tidak', 'dilengserkan', 'secepatnya', 'jokowi', 'akan', 'terus', 'menindas', 'kita', 'dan', 'jokowi', 'akan', 'terus', 'menggunakan', 'buzzerp', 'untuk', 'memenjarakan', 'siapa', 'saja', 'yang', 'menentangnya', 'kita', 'semua', 'bisa', 'kena']","['jokowi', 'dilengserkan', 'secepatnya', 'jokowi', 'menindas', 'jokowi', 'buzzerp', 'memenjarakan', 'menentangnya', 'kena']","['jokowi', 'lengser', 'cepat', 'jokowi', 'tindas', 'jokowi', 'buzzerp', 'penjara', 'tentang', 'kena']"
33,2022-04-06 06:34:17,ChandraGiriWir2,,[''],[''],['']
34,2022-04-06 06:33:49,Jenglot2000,semoga,['semoga'],['semoga'],['moga']
35,2022-04-06 06:33:27,duckbusterr,aamiin,['aamiin'],['aamiin'],['aamiin']
36,2022-04-06 06:31:42,Android_AK_47,april insyah allah,"['april', 'insyah', 'allah']","['april', 'insyah', 'allah']","['april', 'insyah', 'allah']"
37,2022-04-06 06:30:55,ni0910ck,kaget sama tagar coba liat beberapa hari terakhir yang terjadi pakistan sri lanka dan masih banyak lagi,"['kaget', 'sama', 'tagar', 'coba', 'liat', 'beberapa', 'hari', 'terakhir', 'yang', 'terjadi', 'pakistan', 'sri', 'lanka', 'dan', 'masih', 'banyak', 'lagi']","['kaget', 'tagar', 'coba', 'liat', 'pakistan', 'sri', 'lanka']","['kaget', 'tagar', 'coba', 'liat', 'pakistan', 'sri', 'lanka']"
38,2022-04-06 06:30:53,kakangohan,aku hanya ingin permudah dan penghasilkan jualan aja,"['aku', 'hanya', 'ingin', 'permudah', 'dan', 'penghasilkan', 'jualan', 'aja']","['permudah', 'penghasilkan', 'jualan', 'aja']","['mudah', 'hasil', 'jual', 'aja']"
39,2022-04-06 06:30:48,Nurwati9003,trending indonesia twiter pagi ini,"['trending', 'indonesia', 'twiter', 'pagi', 'ini']","['trending', 'indonesia', 'twiter', 'pagi']","['trending', 'indonesia', 'twiter', 'pagi']"
40,2022-04-06 06:30:41,AmaliaCandraya1,semoga kita segera punya presiden baru yang berkualitas panjang umur perjuangan,"['semoga', 'kita', 'segera', 'punya', 'presiden', 'baru', 'yang', 'berkualitas', 'panjang', 'umur', 'perjuangan']","['semoga', 'presiden', 'berkualitas', 'umur', 'perjuangan']","['moga', 'presiden', 'kualitas', 'umur', 'juang']"
41,2022-04-06 06:30:36,PamanBlacks,semoga semoga perbuatan bapak semasa menjabat kepala negara segera mendapat balasan serta teguran dari alloh swt aminn,"['semoga', 'semoga', 'perbuatan', 'bapak', 'semasa', 'menjabat', 'kepala', 'negara', 'segera', 'mendapat', 'balasan', 'serta', 'teguran', 'dari', 'alloh', 'swt', 'aminn']","['semoga', 'semoga', 'perbuatan', 'menjabat', 'kepala', 'negara', 'balasan', 'teguran', 'alloh', 'swt', 'aminn']","['moga', 'moga', 'buat', 'jabat', 'kepala', 'negara', 'balas', 'tegur', 'alloh', 'swt', 'aminn']"
42,2022-04-06 06:30:32,handajani10,ayooo ikut turun dong warganet jgn berisik medsos doang tunjukkan kepedulian kalian untuk kebaikan negeri ini kita lengserkn pakde dkk bismillah semoga april terakhr pakde jadi presiden aamiin allahumma aamiin,"['ayooo', 'ikut', 'turun', 'dong', 'warganet', 'jgn', 'berisik', 'medsos', 'doang', 'tunjukkan', 'kepedulian', 'kalian', 'untuk', 'kebaikan', 'negeri', 'ini', 'kita', 'lengserkn', 'pakde', 'dkk', 'bismillah', 'semoga', 'april', 'terakhr', 'pakde', 'jadi', 'presiden', 'aamiin', 'allahumma', 'aamiin']","['ayooo', 'turun', 'warganet', 'jgn', 'berisik', 'medsos', 'doang', 'tunjukkan', 'kepedulian', 'kebaikan', 'negeri', 'lengserkn', 'pakde', 'dkk', 'bismillah', 'semoga', 'april', 'terakhr', 'pakde', 'presiden', 'aamiin', 'allahumma', 'aamiin']","['ayooo', 'turun', 'warganet', 'jgn', 'berisik', 'medsos', 'doang', 'tunjuk', 'peduli', 'baik', 'negeri', 'lengserkn', 'pakde', 'dkk', 'bismillah', 'moga', 'april', 'terakhr', 'pakde', 'presiden', 'aamiin', 'allahumma', 'aamiin']"
43,2022-04-06 06:27:55,sumantriom,rezimjokowiperusakbangsa,['rezimjokowiperusakbangsa'],['rezimjokowiperusakbangsa'],['rezimjokowiperusakbangsa']
44,2022-04-06 06:27:45,D310608,kayak gini aje viral,"['kayak', 'gini', 'aje', 'viral']","['kayak', 'gini', 'aje', 'viral']","['kayak', 'gin', 'aje', 'viral']"
45,2022-04-06 06:27:13,damik_miki,polri lapor pak,"['polri', 'lapor', 'pak']","['polri', 'lapor']","['polri', 'lapor']"
46,2022-04-06 06:27:06,sumantriom,felis rezimjokowiperusakbangsa,"['felis', 'rezimjokowiperusakbangsa']","['felis', 'rezimjokowiperusakbangsa']","['felis', 'rezimjokowiperusakbangsa']"
47,2022-04-06 06:26:02,damik_miki,sesuai konstitusi aja adek mahasiswa mahasiswi jangan dipaksain,"['sesuai', 'konstitusi', 'aja', 'adek', 'mahasiswa', 'mahasiswi', 'jangan', 'dipaksain']","['sesuai', 'konstitusi', 'aja', 'adek', 'mahasiswa', 'mahasiswi', 'dipaksain']","['sesuai', 'konstitusi', 'aja', 'adek', 'mahasiswa', 'mahasiswi', 'dipaksain']"
48,2022-04-06 06:25:54,bangZhack86,tahu apa anda ttg demokrasi,"['tahu', 'apa', 'anda', 'ttg', 'demokrasi']","['ttg', 'demokrasi']","['ttg', 'demokrasi']"
49,2022-04-06 06:25:23,sumantriom,rezimjokowiperusakbangsa,['rezimjokowiperusakbangsa'],['rezimjokowiperusakbangsa'],['rezimjokowiperusakbangsa']
50,2022-04-06 06:24:59,Arifbasa,bulan ramadhan adalah bulan perjuangan selamatkan indonesia dari cengkeramam oligarki,"['bulan', 'ramadhan', 'adalah', 'bulan', 'perjuangan', 'selamatkan', 'indonesia', 'dari', 'cengkeramam', 'oligarki']","['ramadhan', 'perjuangan', 'selamatkan', 'indonesia', 'cengkeramam', 'oligarki']","['ramadhan', 'juang', 'selamat', 'indonesia', 'cengkeramam', 'oligarki']"
51,2022-04-06 06:24:42,sumantriom,poirot didu rezimjokowiperusakbangsa,"['poirot', 'didu', 'rezimjokowiperusakbangsa']","['poirot', 'didu', 'rezimjokowiperusakbangsa']","['poirot', 'didu', 'rezimjokowiperusakbangsa']"
52,2022-04-06 06:24:13,sumantriom,rezimjokowiperusakbangsa,['rezimjokowiperusakbangsa'],['rezimjokowiperusakbangsa'],['rezimjokowiperusakbangsa']
53,2022-04-06 06:23:07,Paseo_2021,inisial,['inisial'],['inisial'],['inisial']
54,2022-04-06 06:22:33,ocongucinnn,felis rakyat mana yang mau kau tipu dengan,"['felis', 'rakyat', 'mana', 'yang', 'mau', 'kau', 'tipu', 'dengan']","['felis', 'rakyat', 'kau', 'tipu']","['felis', 'rakyat', 'kau', 'tipu']"
55,2022-04-06 06:22:22,sumantriom,,[''],[''],['']
56,2022-04-06 06:22:06,sumantriom,,[''],[''],['']
57,2022-04-06 06:22:02,anggoyyiqh17077,aamin rabbal aalaamiii,"['aamin', 'rabbal', 'aalaamiii']","['aamin', 'rabbal', 'aalaamiii']","['aamin', 'rabbal', 'aalaamiii']"
58,2022-04-06 06:21:47,ishacf,oalah buset cepetan buruan,"['oalah', 'buset', 'cepetan', 'buruan']","['oalah', 'buset', 'cepetan', 'buruan']","['oalah', 'buset', 'cepetan', 'buru']"
59,2022-04-06 06:20:47,patsamasta,cabut mandat,"['cabut', 'mandat']","['cabut', 'mandat']","['cabut', 'mandat']"
60,2022-04-06 06:19:26,chaidar_2000,ak,['ak'],['ak'],['ak']
61,2022-04-06 06:19:24,pamatangsawah1,,[''],[''],['']
62,2022-04-06 06:18:28,shellazaulinaa,yang lagi trending,"['yang', 'lagi', 'trending']",['trending'],['trending']
63,2022-04-06 06:17:36,HendraHanifah,itu strategi pemerintah mencekik rakyatnya memaksa rakyat mau gak mau tetep belu pertama bukan begitu jadi sangat wajid,"['itu', 'strategi', 'pemerintah', 'mencekik', 'rakyatnya', 'memaksa', 'rakyat', 'mau', 'gak', 'mau', 'tetep', 'belu', 'pertama', 'bukan', 'begitu', 'jadi', 'sangat', 'wajid']","['strategi', 'pemerintah', 'mencekik', 'rakyatnya', 'memaksa', 'rakyat', 'gak', 'tetep', 'belu', 'wajid']","['strategi', 'perintah', 'cekik', 'rakyat', 'paksa', 'rakyat', 'gak', 'tetep', 'belu', 'wajid']"
64,2022-04-06 06:17:00,petugaspartei,haha ksp aje menta sumbangan wkwk apalagi cuman buzzerp wkwk tenang udh siap kata pengaman oknum ngoahahaha tag jogja turu subuh inisial tito,"['haha', 'ksp', 'aje', 'menta', 'sumbangan', 'wkwk', 'apalagi', 'cuman', 'buzzerp', 'wkwk', 'tenang', 'udh', 'siap', 'kata', 'pengaman', 'oknum', 'ngoahahaha', 'tag', 'jogja', 'turu', 'subuh', 'inisial', 'tito']","['haha', 'ksp', 'aje', 'menta', 'sumbangan', 'wkwk', 'cuman', 'buzzerp', 'wkwk', 'tenang', 'udh', 'pengaman', 'oknum', 'ngoahahaha', 'tag', 'jogja', 'turu', 'subuh', 'inisial', 'tito']","['haha', 'ksp', 'aje', 'menta', 'sumbang', 'wkwk', 'cuman', 'buzzerp', 'wkwk', 'tenang', 'udh', 'kam', 'oknum', 'ngoahahaha', 'tag', 'jogja', 'turu', 'subuh', 'inisial', 'tito']"
65,2022-04-06 06:15:48,HendraHanifah,berarti klo ada kades dukung tidak dihukum kan nya gak jelas,"['berarti', 'klo', 'ada', 'kades', 'dukung', 'tidak', 'dihukum', 'kan', 'nya', 'gak', 'jelas']","['klo', 'kades', 'dukung', 'dihukum', 'nya', 'gak']","['klo', 'kades', 'dukung', 'hukum', 'nya', 'gak']"
66,2022-04-06 06:15:25,anginkoncang,yang lebih buruk dari pak dhe banyak yang lebih baik lebih banyak lagi menyerahlah demi nkri,"['yang', 'lebih', 'buruk', 'dari', 'pak', 'dhe', 'banyak', 'yang', 'lebih', 'baik', 'lebih', 'banyak', 'lagi', 'menyerahlah', 'demi', 'nkri']","['buruk', 'dhe', 'menyerahlah', 'nkri']","['buruk', 'dhe', 'serah', 'nkri']"
67,2022-04-06 06:14:19,HendraHanifah,silalahi gak salah bang kata tito kita negara demokrasi usul periode aja boleh masa usul gak boleh bismillah inshaalloh turun,"['silalahi', 'gak', 'salah', 'bang', 'kata', 'tito', 'kita', 'negara', 'demokrasi', 'usul', 'periode', 'aja', 'boleh', 'masa', 'usul', 'gak', 'boleh', 'bismillah', 'inshaalloh', 'turun']","['silalahi', 'gak', 'salah', 'bang', 'tito', 'negara', 'demokrasi', 'usul', 'periode', 'aja', 'usul', 'gak', 'bismillah', 'inshaalloh', 'turun']","['silalahi', 'gak', 'salah', 'bang', 'tito', 'negara', 'demokrasi', 'usul', 'periode', 'aja', 'usul', 'gak', 'bismillah', 'inshaalloh', 'turun']"
