,Label,tweet,Tokenization,Stop_Removal,Tweet_Stemmed
0,Negatif, ada apa ni ko ada taggar  goodbyejokowi,"['', 'ada', 'apa', 'ni', 'ko', 'ada', 'taggar', 'goodbyejokowi']","['', 'ni', 'ko', 'taggar', 'goodbyejokowi']","['', 'ni', 'ko', 'taggar', 'goodbyejokowi']"
1,Negatif, sst   goodbyejokowi  goodbyejokowi,"['', 'sst', 'goodbyejokowi', 'goodbyejokowi']","['', 'sst', 'goodbyejokowi', 'goodbyejokowi']","['', 'sst', 'goodbyejokowi', 'goodbyejokowi']"
2,Negatif, jangan biarkan mahasiswa bergerak sendirian  rakyat buruh dan stm bersatulah dalam   barisan  goodbyejokowi  goodbyejokowi,"['', 'jangan', 'biarkan', 'mahasiswa', 'bergerak', 'sendirian', 'rakyat', 'buruh', 'dan', 'stm', 'bersatulah', 'dalam', 'barisan', 'goodbyejokowi', 'goodbyejokowi']","['', 'biarkan', 'mahasiswa', 'bergerak', 'rakyat', 'buruh', 'stm', 'bersatulah', 'barisan', 'goodbyejokowi', 'goodbyejokowi']","['', 'biar', 'mahasiswa', 'gerak', 'rakyat', 'buruh', 'stm', 'satu', 'baris', 'goodbyejokowi', 'goodbyejokowi']"
3,Negatif, two period it s been so long  i can t wait anymore goodbyejokowi  goodbyejokowi,"['', 'two', 'period', 'it', 's', 'been', 'so', 'long', 'i', 'can', 't', 'wait', 'anymore', 'goodbyejokowi', 'goodbyejokowi']","['', 'two', 'period', 'it', 's', 'been', 'so', 'long', 'i', 'can', 't', 'wait', 'anymore', 'goodbyejokowi', 'goodbyejokowi']","['', 'two', 'period', 'it', 's', 'been', 'so', 'long', 'i', 'can', 't', 'wait', 'anymore', 'goodbyejokowi', 'goodbyejokowi']"
4,Negatif,di era jokowi nasakom dihidupkan kembali  islam dan ummat islam disingkirkan  dakwah dan ajaran islam dipelintir menjadi  islam nusantara ulama dan tokoh islam dipenjarakan  saatnya revolusi rakyat  menghacurkan rezim jokowi yg tirani  goodbyejokowi goodbyejokowi,"['di', 'era', 'jokowi', 'nasakom', 'dihidupkan', 'kembali', 'islam', 'dan', 'ummat', 'islam', 'disingkirkan', 'dakwah', 'dan', 'ajaran', 'islam', 'dipelintir', 'menjadi', 'islam', 'nusantara', 'ulama', 'dan', 'tokoh', 'islam', 'dipenjarakan', 'saatnya', 'revolusi', 'rakyat', 'menghacurkan', 'rezim', 'jokowi', 'yg', 'tirani', 'goodbyejokowi', 'goodbyejokowi']","['era', 'jokowi', 'nasakom', 'dihidupkan', 'islam', 'ummat', 'islam', 'disingkirkan', 'dakwah', 'ajaran', 'islam', 'dipelintir', 'islam', 'nusantara', 'ulama', 'tokoh', 'islam', 'dipenjarakan', 'revolusi', 'rakyat', 'menghacurkan', 'rezim', 'jokowi', 'yg', 'tirani', 'goodbyejokowi', 'goodbyejokowi']","['era', 'jokowi', 'nasakom', 'hidup', 'islam', 'ummat', 'islam', 'singkir', 'dakwah', 'ajar', 'islam', 'pelintir', 'islam', 'nusantara', 'ulama', 'tokoh', 'islam', 'penjara', 'revolusi', 'rakyat', 'menghacurkan', 'rezim', 'jokowi', 'yg', 'tirani', 'goodbyejokowi', 'goodbyejokowi']"
5,Negatif,hampir tiap hari ada trand di minta mundurr  tapi sampai saat ini seperti ngak dihiraukan         apa dia tdk tahu atau pura pura tdk tahu  goodbyejokowi,"['hampir', 'tiap', 'hari', 'ada', 'trand', 'di', 'minta', 'mundurr', 'tapi', 'sampai', 'saat', 'ini', 'seperti', 'ngak', 'dihiraukan', 'apa', 'dia', 'tdk', 'tahu', 'atau', 'pura', 'pura', 'tdk', 'tahu', 'goodbyejokowi']","['trand', 'mundurr', 'ngak', 'dihiraukan', 'tdk', 'pura', 'pura', 'tdk', 'goodbyejokowi']","['trand', 'mundurr', 'ngak', 'hirau', 'tdk', 'pura', 'pura', 'tdk', 'goodbyejokowi']"
6,Positif, satu bangsa satu tanah air satu kata goodbyejokowi,"['', 'satu', 'bangsa', 'satu', 'tanah', 'air', 'satu', 'kata', 'goodbyejokowi']","['', 'bangsa', 'tanah', 'air', 'goodbyejokowi']","['', 'bangsa', 'tanah', 'air', 'goodbyejokowi']"
7,Negatif,      oo  jadi ginii       nah iya gitu  emote batu mana nii goodbyejokowi inisialm berkahramadhanditvone,"['', 'oo', 'jadi', 'ginii', 'nah', 'iya', 'gitu', 'emote', 'batu', 'mana', 'nii', 'goodbyejokowi', 'inisialm', 'berkahramadhanditvone']","['', 'oo', 'ginii', 'iya', 'gitu', 'emote', 'batu', 'nii', 'goodbyejokowi', 'inisialm', 'berkahramadhanditvone']","['', 'oo', 'ginii', 'iya', 'gitu', 'emote', 'batu', 'nii', 'goodbyejokowi', 'inisialm', 'berkahramadhanditvone']"
8,Positif, aamiin ya rob          mdh an mak       trade mark    goodbyejokowi  goodbyejokowi,"['', 'aamiin', 'ya', 'rob', 'mdh', 'an', 'mak', 'trade', 'mark', 'goodbyejokowi', 'goodbyejokowi']","['', 'aamiin', 'ya', 'rob', 'mdh', 'an', 'mak', 'trade', 'mark', 'goodbyejokowi', 'goodbyejokowi']","['', 'aamiin', 'ya', 'rob', 'mdh', 'an', 'mak', 'trade', 'mark', 'goodbyejokowi', 'goodbyejokowi']"
9,Positif,agar semua berjalan normal kembali goodbyejokowi  goodbyejokowi,"['agar', 'semua', 'berjalan', 'normal', 'kembali', 'goodbyejokowi', 'goodbyejokowi']","['berjalan', 'normal', 'goodbyejokowi', 'goodbyejokowi']","['jalan', 'normal', 'goodbyejokowi', 'goodbyejokowi']"
10,Positif,kompromi aksi reformasi   goodbyejokowi,"['kompromi', 'aksi', 'reformasi', 'goodbyejokowi']","['kompromi', 'aksi', 'reformasi', 'goodbyejokowi']","['kompromi', 'aksi', 'reformasi', 'goodbyejokowi']"
11,Negatif,  turunkan jokowi goodbyejokowi  goodbyejokowi,"['', 'turunkan', 'jokowi', 'goodbyejokowi', 'goodbyejokowi']","['', 'turunkan', 'jokowi', 'goodbyejokowi', 'goodbyejokowi']","['', 'turun', 'jokowi', 'goodbyejokowi', 'goodbyejokowi']"
12,Negatif,semua pada naik goodbyejokowi  ,"['semua', 'pada', 'naik', 'goodbyejokowi', '']","['goodbyejokowi', '']","['goodbyejokowi', '']"
13,Negatif, musuh kita bukan ras dan agama yang berbeda  tapi penguasa zalim yang akan menghancurkan kedamaian dunia goodbyejokowi  goodbyejokowi,"['', 'musuh', 'kita', 'bukan', 'ras', 'dan', 'agama', 'yang', 'berbeda', 'tapi', 'penguasa', 'zalim', 'yang', 'akan', 'menghancurkan', 'kedamaian', 'dunia', 'goodbyejokowi', 'goodbyejokowi']","['', 'musuh', 'ras', 'agama', 'berbeda', 'penguasa', 'zalim', 'menghancurkan', 'kedamaian', 'dunia', 'goodbyejokowi', 'goodbyejokowi']","['', 'musuh', 'ras', 'agama', 'beda', 'kuasa', 'zalim', 'hancur', 'damai', 'dunia', 'goodbyejokowi', 'goodbyejokowi']"
14,Negatif,inisial pelawak  m  gw yakin bukan bang malih      sehat terus bang malih tongtong goodbyejokowi  ,"['inisial', 'pelawak', 'm', 'gw', 'yakin', 'bukan', 'bang', 'malih', 'sehat', 'terus', 'bang', 'malih', 'tongtong', 'goodbyejokowi', '']","['inisial', 'pelawak', 'm', 'gw', 'bang', 'malih', 'sehat', 'bang', 'malih', 'tongtong', 'goodbyejokowi', '']","['inisial', 'lawak', 'm', 'gw', 'bang', 'malih', 'sehat', 'bang', 'malih', 'tongtong', 'goodbyejokowi', '']"
15,Negatif,gak apa  di hari lebaran gak ada baju baru  yang penting di hari lebaran ada presiden baru goodbyejokowi  goodbyejokowi,"['gak', 'apa', 'di', 'hari', 'lebaran', 'gak', 'ada', 'baju', 'baru', 'yang', 'penting', 'di', 'hari', 'lebaran', 'ada', 'presiden', 'baru', 'goodbyejokowi', 'goodbyejokowi']","['gak', 'lebaran', 'gak', 'baju', 'lebaran', 'presiden', 'goodbyejokowi', 'goodbyejokowi']","['gak', 'lebaran', 'gak', 'baju', 'lebaran', 'presiden', 'goodbyejokowi', 'goodbyejokowi']"
16,Positif,assalamu alaikum   hempaskan kotoran penyakit di dalam hati karena orang yang memendam dendam dan benci itu akan terasa capek sendiri terlebih orang yang kamu tuju terlihat baik baik saja bahkan tersenyum tanpa membalas kebencianmu  goodbyejokowi,"['assalamu', 'alaikum', 'hempaskan', 'kotoran', 'penyakit', 'di', 'dalam', 'hati', 'karena', 'orang', 'yang', 'memendam', 'dendam', 'dan', 'benci', 'itu', 'akan', 'terasa', 'capek', 'sendiri', 'terlebih', 'orang', 'yang', 'kamu', 'tuju', 'terlihat', 'baik', 'baik', 'saja', 'bahkan', 'tersenyum', 'tanpa', 'membalas', 'kebencianmu', 'goodbyejokowi']","['assalamu', 'alaikum', 'hempaskan', 'kotoran', 'penyakit', 'hati', 'orang', 'memendam', 'dendam', 'benci', 'capek', 'orang', 'tuju', 'tersenyum', 'membalas', 'kebencianmu', 'goodbyejokowi']","['assalamu', 'alaikum', 'hempas', 'kotor', 'sakit', 'hati', 'orang', 'pendam', 'dendam', 'benci', 'capek', 'orang', 'tuju', 'senyum', 'balas', 'benci', 'goodbyejokowi']"
17,Negatif, jika jokowi tidak dilengserkan secepatnya  jokowi akan terus menindas kita dan jokowi akan terus menggunakan buzzerp untuk memenjarakan siapa saja yang menentangnya  kita semua bisa kena goodbyejokowi  goodbyejokowi,"['', 'jika', 'jokowi', 'tidak', 'dilengserkan', 'secepatnya', 'jokowi', 'akan', 'terus', 'menindas', 'kita', 'dan', 'jokowi', 'akan', 'terus', 'menggunakan', 'buzzerp', 'untuk', 'memenjarakan', 'siapa', 'saja', 'yang', 'menentangnya', 'kita', 'semua', 'bisa', 'kena', 'goodbyejokowi', 'goodbyejokowi']","['', 'jokowi', 'dilengserkan', 'secepatnya', 'jokowi', 'menindas', 'jokowi', 'buzzerp', 'memenjarakan', 'menentangnya', 'kena', 'goodbyejokowi', 'goodbyejokowi']","['', 'jokowi', 'lengser', 'cepat', 'jokowi', 'tindas', 'jokowi', 'buzzerp', 'penjara', 'tentang', 'kena', 'goodbyejokowi', 'goodbyejokowi']"
18,Positif,   april  insyah allah goodbyejokowi  goodbyejokowi  ,"['', 'april', 'insyah', 'allah', 'goodbyejokowi', 'goodbyejokowi', '']","['', 'april', 'insyah', 'allah', 'goodbyejokowi', 'goodbyejokowi', '']","['', 'april', 'insyah', 'allah', 'goodbyejokowi', 'goodbyejokowi', '']"
19,Positif,ga kaget sama tagar goodbyejokowi  coba liat beberapa hari terakhir yang terjadi di pakistan  sri lanka  dan masih banyak lagi ,"['ga', 'kaget', 'sama', 'tagar', 'goodbyejokowi', 'coba', 'liat', 'beberapa', 'hari', 'terakhir', 'yang', 'terjadi', 'di', 'pakistan', 'sri', 'lanka', 'dan', 'masih', 'banyak', 'lagi', '']","['ga', 'kaget', 'tagar', 'goodbyejokowi', 'coba', 'liat', 'pakistan', 'sri', 'lanka', '']","['ga', 'kaget', 'tagar', 'goodbyejokowi', 'coba', 'liat', 'pakistan', 'sri', 'lanka', '']"
20,Negatif,goodbyejokowi aku hanya ingin di permudah dan di penghasilkan jualan aja  ,"['goodbyejokowi', 'aku', 'hanya', 'ingin', 'di', 'permudah', 'dan', 'di', 'penghasilkan', 'jualan', 'aja', '']","['goodbyejokowi', 'permudah', 'penghasilkan', 'jualan', 'aja', '']","['goodbyejokowi', 'mudah', 'hasil', 'jual', 'aja', '']"
21,Positif,trending di indonesia twiter pagi ini goodbyejokowi  ,"['trending', 'di', 'indonesia', 'twiter', 'pagi', 'ini', 'goodbyejokowi', '']","['trending', 'indonesia', 'twiter', 'pagi', 'goodbyejokowi', '']","['trending', 'indonesia', 'twiter', 'pagi', 'goodbyejokowi', '']"
22,Negatif,semoga kita segera punya presiden baru yang berkualitas   panjang umur perjuangan   goodbyejokowi  ,"['semoga', 'kita', 'segera', 'punya', 'presiden', 'baru', 'yang', 'berkualitas', 'panjang', 'umur', 'perjuangan', 'goodbyejokowi', '']","['semoga', 'presiden', 'berkualitas', 'umur', 'perjuangan', 'goodbyejokowi', '']","['moga', 'presiden', 'kualitas', 'umur', 'juang', 'goodbyejokowi', '']"
23,Positif,semoga semoga perbuatan bapak  semasa menjabat kepala negara segera mendapat balasan serta teguran dari alloh swt   aminn  goodbyejokowi goodbyejokowi,"['semoga', 'semoga', 'perbuatan', 'bapak', 'semasa', 'menjabat', 'kepala', 'negara', 'segera', 'mendapat', 'balasan', 'serta', 'teguran', 'dari', 'alloh', 'swt', 'aminn', 'goodbyejokowi', 'goodbyejokowi']","['semoga', 'semoga', 'perbuatan', 'menjabat', 'kepala', 'negara', 'balasan', 'teguran', 'alloh', 'swt', 'aminn', 'goodbyejokowi', 'goodbyejokowi']","['moga', 'moga', 'buat', 'jabat', 'kepala', 'negara', 'balas', 'tegur', 'alloh', 'swt', 'aminn', 'goodbyejokowi', 'goodbyejokowi']"
24,Negatif,ayoo ikut turun dong warganet jgn berisik di medsos doang  tunjukkan kepedulian kalian untuk kebaikan negeri ini kita lengserkn pakde dkk bismillah semoga    april hr terakhr pakde jadi presiden aamiin allahumma aamiin          goodbyejokowi  goodbyejokowi  ,"['ayoo', 'ikut', 'turun', 'dong', 'warganet', 'jgn', 'berisik', 'di', 'medsos', 'doang', 'tunjukkan', 'kepedulian', 'kalian', 'untuk', 'kebaikan', 'negeri', 'ini', 'kita', 'lengserkn', 'pakde', 'dkk', 'bismillah', 'semoga', 'april', 'hr', 'terakhr', 'pakde', 'jadi', 'presiden', 'aamiin', 'allahumma', 'aamiin', 'goodbyejokowi', 'goodbyejokowi', '']","['ayoo', 'turun', 'warganet', 'jgn', 'berisik', 'medsos', 'doang', 'tunjukkan', 'kepedulian', 'kebaikan', 'negeri', 'lengserkn', 'pakde', 'dkk', 'bismillah', 'semoga', 'april', 'hr', 'terakhr', 'pakde', 'presiden', 'aamiin', 'allahumma', 'aamiin', 'goodbyejokowi', 'goodbyejokowi', '']","['ayoo', 'turun', 'warganet', 'jgn', 'berisik', 'medsos', 'doang', 'tunjuk', 'peduli', 'baik', 'negeri', 'lengserkn', 'pakde', 'dkk', 'bismillah', 'moga', 'april', 'hr', 'terakhr', 'pakde', 'presiden', 'aamiin', 'allahumma', 'aamiin', 'goodbyejokowi', 'goodbyejokowi', '']"
25,Negatif,  jokowiharusditurunkan  goodbyejokowi  tangkapsemuaantek rezimjokowiperusakbangsa,"['', 'jokowiharusditurunkan', 'goodbyejokowi', 'tangkapsemuaantek', 'rezimjokowiperusakbangsa']","['', 'jokowiharusditurunkan', 'goodbyejokowi', 'tangkapsemuaantek', 'rezimjokowiperusakbangsa']","['', 'jokowiharusditurunkan', 'goodbyejokowi', 'tangkapsemuaantek', 'rezimjokowiperusakbangsa']"
26,Negatif,kayak gini aje viral inisialm goodbyejokowi,"['kayak', 'gini', 'aje', 'viral', 'inisialm', 'goodbyejokowi']","['kayak', 'gini', 'aje', 'viral', 'inisialm', 'goodbyejokowi']","['kayak', 'gin', 'aje', 'viral', 'inisialm', 'goodbyejokowi']"
27,Positif,  lapor pak goodbyejokowi,"['', 'lapor', 'pak', 'goodbyejokowi']","['', 'lapor', 'goodbyejokowi']","['', 'lapor', 'goodbyejokowi']"
28,Negatif,  jokowiharusditurunkan  goodbyejokowi  tangkapsemuaantek rezimjokowiperusakbangsa,"['', 'jokowiharusditurunkan', 'goodbyejokowi', 'tangkapsemuaantek', 'rezimjokowiperusakbangsa']","['', 'jokowiharusditurunkan', 'goodbyejokowi', 'tangkapsemuaantek', 'rezimjokowiperusakbangsa']","['', 'jokowiharusditurunkan', 'goodbyejokowi', 'tangkapsemuaantek', 'rezimjokowiperusakbangsa']"
29,Positif,sesuai konstitusi aja adek  mahasiswa mahasiswi  jangan dipaksain goodbyejokowi,"['sesuai', 'konstitusi', 'aja', 'adek', 'mahasiswa', 'mahasiswi', 'jangan', 'dipaksain', 'goodbyejokowi']","['sesuai', 'konstitusi', 'aja', 'adek', 'mahasiswa', 'mahasiswi', 'dipaksain', 'goodbyejokowi']","['sesuai', 'konstitusi', 'aja', 'adek', 'mahasiswa', 'mahasiswi', 'dipaksain', 'goodbyejokowi']"
30,Negatif,tahu apa anda ttg demokrasi    goodbyejokowi,"['tahu', 'apa', 'anda', 'ttg', 'demokrasi', 'goodbyejokowi']","['ttg', 'demokrasi', 'goodbyejokowi']","['ttg', 'demokrasi', 'goodbyejokowi']"
31,Negatif,jokowiharusditurunkan  goodbyejokowi  tangkapsemuaantek rezimjokowiperusakbangsa,"['jokowiharusditurunkan', 'goodbyejokowi', 'tangkapsemuaantek', 'rezimjokowiperusakbangsa']","['jokowiharusditurunkan', 'goodbyejokowi', 'tangkapsemuaantek', 'rezimjokowiperusakbangsa']","['jokowiharusditurunkan', 'goodbyejokowi', 'tangkapsemuaantek', 'rezimjokowiperusakbangsa']"
32,Positif,bulan ramadhan adalah bulan perjuangan selamatkan indonesia dari cengkeramam oligarki goodbyejokowi,"['bulan', 'ramadhan', 'adalah', 'bulan', 'perjuangan', 'selamatkan', 'indonesia', 'dari', 'cengkeramam', 'oligarki', 'goodbyejokowi']","['ramadhan', 'perjuangan', 'selamatkan', 'indonesia', 'cengkeramam', 'oligarki', 'goodbyejokowi']","['ramadhan', 'juang', 'selamat', 'indonesia', 'cengkeramam', 'oligarki', 'goodbyejokowi']"
33,Negatif,  jokowiharusditurunkan  goodbyejokowi  tangkapsemuaantek rezimjokowiperusakbangsa,"['', 'jokowiharusditurunkan', 'goodbyejokowi', 'tangkapsemuaantek', 'rezimjokowiperusakbangsa']","['', 'jokowiharusditurunkan', 'goodbyejokowi', 'tangkapsemuaantek', 'rezimjokowiperusakbangsa']","['', 'jokowiharusditurunkan', 'goodbyejokowi', 'tangkapsemuaantek', 'rezimjokowiperusakbangsa']"
34,Negatif,jokowiharusditurunkan  goodbyejokowi  tangkapsemuaantek rezimjokowiperusakbangsa,"['jokowiharusditurunkan', 'goodbyejokowi', 'tangkapsemuaantek', 'rezimjokowiperusakbangsa']","['jokowiharusditurunkan', 'goodbyejokowi', 'tangkapsemuaantek', 'rezimjokowiperusakbangsa']","['jokowiharusditurunkan', 'goodbyejokowi', 'tangkapsemuaantek', 'rezimjokowiperusakbangsa']"
35,Negatif, rakyat mana yang mau kau tipu dengan goodbyejokowi    ,"['', 'rakyat', 'mana', 'yang', 'mau', 'kau', 'tipu', 'dengan', 'goodbyejokowi', '']","['', 'rakyat', 'kau', 'tipu', 'goodbyejokowi', '']","['', 'rakyat', 'kau', 'tipu', 'goodbyejokowi', '']"
36,Positif,aamin ya rabbal aalaamii  goodbyejokowi,"['aamin', 'ya', 'rabbal', 'aalaamii', 'goodbyejokowi']","['aamin', 'ya', 'rabbal', 'aalaamii', 'goodbyejokowi']","['aamin', 'ya', 'rabbal', 'aalaamii', 'goodbyejokowi']"
37,Negatif,oalah buset  cepetan  buruan  goodbyejokowi goodbyejokowi,"['oalah', 'buset', 'cepetan', 'buruan', 'goodbyejokowi', 'goodbyejokowi']","['oalah', 'buset', 'cepetan', 'buruan', 'goodbyejokowi', 'goodbyejokowi']","['oalah', 'buset', 'cepetan', 'buru', 'goodbyejokowi', 'goodbyejokowi']"
38,Negatif,cabut mandat goodbyejokowi,"['cabut', 'mandat', 'goodbyejokowi']","['cabut', 'mandat', 'goodbyejokowi']","['cabut', 'mandat', 'goodbyejokowi']"
39,Positif,yang lagi trending goodbyejokowi                      ,"['yang', 'lagi', 'trending', 'goodbyejokowi', '']","['trending', 'goodbyejokowi', '']","['trending', 'goodbyejokowi', '']"
40,Negatif, itu strategi pemerintah  mencekik rakyatnya  memaksa rakyat mau gak mau tetep belu pertama  bukan begitu     jadi sangat wajid goodbyejokowi  goodbyejokowi,"['', 'itu', 'strategi', 'pemerintah', 'mencekik', 'rakyatnya', 'memaksa', 'rakyat', 'mau', 'gak', 'mau', 'tetep', 'belu', 'pertama', 'bukan', 'begitu', 'jadi', 'sangat', 'wajid', 'goodbyejokowi', 'goodbyejokowi']","['', 'strategi', 'pemerintah', 'mencekik', 'rakyatnya', 'memaksa', 'rakyat', 'gak', 'tetep', 'belu', 'wajid', 'goodbyejokowi', 'goodbyejokowi']","['', 'strategi', 'perintah', 'cekik', 'rakyat', 'paksa', 'rakyat', 'gak', 'tetep', 'belu', 'wajid', 'goodbyejokowi', 'goodbyejokowi']"
41,Negatif,haha ksp aje menta sumbangan wkwk apalagi cuman buzzerp wkwk  tp tenang udh siap kata  pengaman  oknum  ngoahahaha tag goodbyejokowi jogja ordebrutal turu subuh inisial m tito,"['haha', 'ksp', 'aje', 'menta', 'sumbangan', 'wkwk', 'apalagi', 'cuman', 'buzzerp', 'wkwk', 'tp', 'tenang', 'udh', 'siap', 'kata', 'pengaman', 'oknum', 'ngoahahaha', 'tag', 'goodbyejokowi', 'jogja', 'ordebrutal', 'turu', 'subuh', 'inisial', 'm', 'tito']","['haha', 'ksp', 'aje', 'menta', 'sumbangan', 'wkwk', 'cuman', 'buzzerp', 'wkwk', 'tp', 'tenang', 'udh', 'pengaman', 'oknum', 'ngoahahaha', 'tag', 'goodbyejokowi', 'jogja', 'ordebrutal', 'turu', 'subuh', 'inisial', 'm', 'tito']","['haha', 'ksp', 'aje', 'menta', 'sumbang', 'wkwk', 'cuman', 'buzzerp', 'wkwk', 'tp', 'tenang', 'udh', 'kam', 'oknum', 'ngoahahaha', 'tag', 'goodbyejokowi', 'jogja', 'ordebrutal', 'turu', 'subuh', 'inisial', 'm', 'tito']"
42,Negatif, berarti klo ada kades yg dukung goodbyejokowi tidak dihukum ya  kan uu nya gak jelas  goodbyejokowi  goodbyejokowi,"['', 'berarti', 'klo', 'ada', 'kades', 'yg', 'dukung', 'goodbyejokowi', 'tidak', 'dihukum', 'ya', 'kan', 'uu', 'nya', 'gak', 'jelas', 'goodbyejokowi', 'goodbyejokowi']","['', 'klo', 'kades', 'yg', 'dukung', 'goodbyejokowi', 'dihukum', 'ya', 'uu', 'nya', 'gak', 'goodbyejokowi', 'goodbyejokowi']","['', 'klo', 'kades', 'yg', 'dukung', 'goodbyejokowi', 'hukum', 'ya', 'uu', 'nya', 'gak', 'goodbyejokowi', 'goodbyejokowi']"
43,Negatif,yang lebih buruk dari pak dhe banyak  yang lebih baik lebih banyak lagi menyerahlah demi nkri goodbyejokowi,"['yang', 'lebih', 'buruk', 'dari', 'pak', 'dhe', 'banyak', 'yang', 'lebih', 'baik', 'lebih', 'banyak', 'lagi', 'menyerahlah', 'demi', 'nkri', 'goodbyejokowi']","['buruk', 'dhe', 'menyerahlah', 'nkri', 'goodbyejokowi']","['buruk', 'dhe', 'serah', 'nkri', 'goodbyejokowi']"
44,Negatif, gak salah bang  kata si tito kita negara demokrasi  yg usul   periode aja boleh  masa usul goodbyejokowi  gak boleh   bismillah inshaalloh  turun goodbyejokowi  goodbyejokowi,"['', 'gak', 'salah', 'bang', 'kata', 'si', 'tito', 'kita', 'negara', 'demokrasi', 'yg', 'usul', 'periode', 'aja', 'boleh', 'masa', 'usul', 'goodbyejokowi', 'gak', 'boleh', 'bismillah', 'inshaalloh', 'turun', 'goodbyejokowi', 'goodbyejokowi']","['', 'gak', 'salah', 'bang', 'si', 'tito', 'negara', 'demokrasi', 'yg', 'usul', 'periode', 'aja', 'usul', 'goodbyejokowi', 'gak', 'bismillah', 'inshaalloh', 'turun', 'goodbyejokowi', 'goodbyejokowi']","['', 'gak', 'salah', 'bang', 'si', 'tito', 'negara', 'demokrasi', 'yg', 'usul', 'periode', 'aja', 'usul', 'goodbyejokowi', 'gak', 'bismillah', 'inshaalloh', 'turun', 'goodbyejokowi', 'goodbyejokowi']"
